mlbam_id,player_name,country,PA,AB,H,1B,2B,3B,HR,BB,HBP,K,TB,AVG,OBP,SLG,OPS,K_pct,BB_pct,xwOBA,avg_exit_velo,avg_launch_angle
683953,"Bazzana, Travis",AUS,4,3,1,1,0,0,0,1,0,0,1,0.333,0.5,0.333,0.833,0.0,25.0,,82.8,6.8
678554,"Mead, Curtis",AUS,420,382,92,73,14,1,4,23,12,97,120,0.241,0.302,0.314,0.617,23.1,5.5,0.287,82.2,19.2
672012,"Black, Tyler",CAN,76,62,13,9,4,0,0,13,1,18,17,0.21,0.355,0.274,0.629,23.7,17.1,0.288,78.5,17.5
683357,"Caissie, Owen",CAN,35,33,7,4,1,0,2,2,0,15,14,0.212,0.257,0.424,0.681,42.9,5.7,0.232,81.4,9.5
672016,"Clarke, Denzel",CAN,159,148,34,21,8,2,3,6,3,61,55,0.23,0.27,0.372,0.642,38.4,3.8,0.254,80.8,9.7
689414,"Hicks, Liam",CAN,400,340,83,63,13,1,6,45,9,57,116,0.244,0.343,0.341,0.684,14.2,11.2,0.315,80.1,11.9
666397,"Julien, Edouard",CAN,535,471,99,67,20,0,12,58,4,169,155,0.21,0.301,0.329,0.63,31.6,10.8,0.304,82.8,13.6
672640,"Lopez, Otto",CAN,1041,957,246,179,45,1,21,72,4,159,356,0.257,0.309,0.372,0.681,15.3,6.9,0.324,82.7,12.6
666310,"Naylor, Bo",CAN,854,763,150,84,35,3,28,75,3,233,275,0.197,0.267,0.36,0.627,27.3,8.8,0.275,82.8,22.3
647304,"Naylor, Josh",CAN,1358,1217,327,211,61,1,54,114,11,208,552,0.269,0.333,0.454,0.786,15.3,8.4,0.334,83.7,14.0
641933,"O'Neill, Tyler",CAN,706,611,139,72,25,1,41,80,10,214,289,0.227,0.324,0.473,0.797,30.3,11.3,0.346,84.2,21.0
647351,"Toro, Abraham",CAN,665,611,147,101,32,1,13,36,11,107,220,0.241,0.292,0.36,0.652,16.1,5.4,0.299,81.5,16.9
676724,"Young, Jared",CAN,50,46,9,4,1,0,4,2,1,17,22,0.196,0.24,0.478,0.718,34.0,4.0,0.296,83.2,20.9
595751,"Alfaro, Jorge",COL,42,42,11,8,3,0,0,0,0,15,14,0.262,0.262,0.333,0.595,35.7,0.0,0.247,78.5,16.5
703197,"Arroyo, Michael",COL,2,2,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,50.0,0.0,,69.5,24.0
683454,"Buelvas, Brayan",COL,3,2,0,0,0,0,0,1,0,0,0,0.0,0.333,0.0,0.333,0.0,33.3,,81.3,18.7
672569,"Campero, Gustavo",COL,116,106,21,15,1,1,4,5,5,23,36,0.198,0.267,0.34,0.607,19.8,4.3,0.297,80.3,14.6
682679,"Frias, Dayan",COL,3,3,1,1,0,0,0,0,0,1,1,0.333,0.333,0.333,0.667,33.3,0.0,,91.7,32.0
660162,"Moncada, Yoán",CUB,345,299,71,40,16,3,12,37,7,91,129,0.237,0.333,0.431,0.765,26.4,10.7,0.323,82.2,17.7
683061,"Vargas, Alexander",CUB,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,89.0,9.0
691406,"Caminero, Junior",DOM,842,778,202,112,37,1,52,53,4,164,397,0.26,0.308,0.51,0.818,19.5,6.3,0.337,85.5,14.5
665833,"Cruz, Oneil",DOM,1165,1032,235,135,53,6,41,117,7,364,423,0.228,0.308,0.41,0.718,31.2,10.0,0.334,86.6,13.2
665489,"Guerrero Jr., Vladimir",DOM,1489,1298,408,261,84,1,62,170,12,202,680,0.314,0.396,0.524,0.92,13.6,11.4,0.402,86.0,12.8
592518,"Machado, Manny",DOM,1376,1260,342,218,65,0,59,103,4,270,584,0.271,0.326,0.463,0.79,19.6,7.5,0.349,85.6,21.5
606466,"Marte, Ketel",DOM,1165,1009,292,171,52,3,66,129,15,190,548,0.289,0.374,0.543,0.917,16.3,11.1,0.392,86.0,15.0
672695,"Perdomo, Geraldo",DOM,1128,949,270,185,55,7,23,133,14,145,408,0.285,0.37,0.43,0.8,12.9,11.8,0.332,81.6,18.3
665161,"Peña, Jeremy",DOM,1216,1115,320,221,62,4,33,62,26,207,489,0.287,0.336,0.439,0.774,17.0,5.1,0.324,82.7,10.1
682663,"Ramírez, Agustín",DOM,585,537,124,69,33,1,21,36,8,113,222,0.231,0.287,0.413,0.701,19.3,6.2,0.332,84.6,13.1
677594,"Rodríguez, Julio",DOM,1407,1288,345,232,50,4,59,96,18,335,580,0.268,0.326,0.45,0.777,23.8,6.8,0.349,84.7,14.9
679032,"Rojas, Johan",DOM,566,518,123,97,17,5,4,29,4,115,162,0.237,0.276,0.313,0.588,20.3,5.1,0.261,79.8,10.9
642708,"Rosario, Amed",DOM,566,542,150,106,32,3,9,16,6,106,215,0.277,0.304,0.397,0.701,18.7,2.8,0.3,81.7,13.7
