mlbam_id,player_name,country,total_pitches,PA_faced,K,BB,HR_allowed,H_allowed,opp_AVG,opp_SLG,K_pct,BB_pct,xwOBA_against,avg_velo,avg_spin_rate,pitch_type_count,primary_pitch
678620,"Townsend, Blake",AUS,6,3,1,0,0,1,0.333,0.667,33.3,0.0,,,,0,
666301,"Diaz, Indigo",CAN,29,7,0,3,0,2,0.5,0.75,0.0,42.9,,,,0,
615698,"Quantrill, Cal",CAN,4749,1204,202,106,49,304,0.283,0.495,16.8,8.8,0.36,88.7,1929.0,8,FS
647336,"Soroka, Michael",CAN,3139,774,188,80,25,149,0.223,0.391,24.3,10.3,0.315,88.0,2589.0,6,FF
592791,"Taillon, Jameson",CAN,4680,1248,236,62,47,277,0.236,0.407,18.9,5.0,0.308,86.9,2420.0,6,FF
642239,"Zastryzny, Rob",CAN,509,131,27,12,4,22,0.195,0.336,20.6,9.2,0.268,87.6,2439.0,5,FF
622503,"Crismatt, Nabil",COL,665,191,32,9,7,50,0.278,0.45,16.8,4.7,0.335,83.4,1928.0,6,CH
665665,"Sanmartin, Reiver",COL,53,15,3,2,0,4,0.308,0.462,20.0,13.3,0.251,89.5,2318.0,4,FF
670871,"Zuñiga, Guillo",COL,334,91,16,8,5,20,0.25,0.487,17.6,8.8,0.319,93.5,2312.0,4,SI
684320,"Rodríguez, Yariel",CUB,2750,690,153,80,21,127,0.213,0.364,22.2,11.6,0.315,89.8,2444.0,6,FF
645261,"Alcantara, Sandy",DOM,2893,745,142,57,22,165,0.247,0.404,19.1,7.7,0.332,92.3,2288.0,5,SI
665660,"Alvarado, Elvis",DOM,767,183,50,22,6,34,0.214,0.371,27.3,12.0,0.304,95.1,2359.0,4,FF
678394,"Bello, Brayan",DOM,5530,1438,284,127,36,313,0.246,0.375,19.7,8.8,0.33,91.2,2139.0,6,SI
623211,"Brazobán, Huascar",DOM,1967,490,112,55,8,89,0.211,0.31,22.9,11.2,0.305,93.2,2168.0,4,CH
622554,"Domínguez, Seranthony",DOM,2434,583,163,68,20,103,0.203,0.356,28.0,11.7,0.295,93.4,2264.0,8,FF
666808,"Doval, Camilo",DOM,2361,581,157,75,9,114,0.232,0.352,27.0,12.9,0.295,93.6,2508.0,5,SL
608032,"Estévez, Carlos",DOM,2023,513,113,37,11,91,0.194,0.314,22.0,7.2,0.293,92.8,2101.0,4,FF
593974,"Peralta, Wandy",DOM,1829,492,91,43,12,105,0.24,0.373,18.5,8.7,0.326,91.8,2156.0,4,SI
642701,"Santana, Dennis",DOM,2131,564,132,39,9,101,0.198,0.321,23.4,6.9,0.288,90.8,2475.0,6,SL
622663,"Severino, Luis",DOM,6070,1579,306,118,41,355,0.251,0.385,19.4,7.5,0.318,92.1,2265.0,6,FF
