name,country,pool,position,team,on_40_man,role
Alex Bregman,USA,B (Houston),3B,Chicago Cubs,True,batter
Byron Buxton,USA,B (Houston),CF,Minnesota Twins,True,batter
Roman Anthony,USA,B (Houston),OF,Boston Red Sox,True,batter
Garrett Cleavinger,USA,B (Houston),LHP,Tampa Bay Rays,True,pitcher
Ernie Clement,USA,B (Houston),UTL,Toronto Blue Jays,True,batter
Pete Crow-Armstrong,USA,B (Houston),CF,Chicago Cubs,True,batter
Paul Goldschmidt,USA,B (Houston),1B,FA (former Yankees),False,batter
Bryce Harper,USA,B (Houston),1B,Philadelphia Phillies,True,batter
Gunnar Henderson,USA,B (Houston),SS,Baltimore Orioles,True,batter
Clay Holmes,USA,B (Houston),RHP,New York Mets,True,pitcher
Griffin Jax,USA,B (Houston),RHP,Tampa Bay Rays,True,pitcher
Aaron Judge,USA,B (Houston),RF,New York Yankees,True,batter
Brad Keller,USA,B (Houston),RHP,Philadelphia Phillies,True,pitcher
Clayton Kershaw,USA,B (Houston),LHP,Returning from retirement (former Dodgers),False,pitcher
Matt Boyd,USA,B (Houston),LHP,Chicago Cubs,True,pitcher
Nolan McLean,USA,B (Houston),RHP,New York Mets,True,pitcher
Mason Miller,USA,B (Houston),RHP,San Diego Padres,True,pitcher
Cal Raleigh,USA,B (Houston),C,Seattle Mariners,True,batter
Ryan Yarbrough,USA,B (Houston),LHP,New York Yankees,True,pitcher
Kyle Schwarber,USA,B (Houston),DH,Philadelphia Phillies,True,batter
Paul Skenes,USA,B (Houston),RHP,Pittsburgh Pirates,True,pitcher
Tarik Skubal,USA,B (Houston),LHP,Detroit Tigers,True,pitcher
Will Smith,USA,B (Houston),C,Los Angeles Dodgers,True,batter
Gabe Speier,USA,B (Houston),LHP,Seattle Mariners,True,pitcher
Brice Turang,USA,B (Houston),2B,Milwaukee Brewers,True,batter
Michael Wacha,USA,B (Houston),RHP,Kansas City Royals,True,pitcher
Logan Webb,USA,B (Houston),RHP,San Francisco Giants,True,pitcher
Garrett Whitlock,USA,B (Houston),RHP,Boston Red Sox,True,pitcher
Bobby Witt Jr.,USA,B (Houston),SS,Kansas City Royals,True,batter
David Bednar,USA,B (Houston),RHP,New York Yankees,True,pitcher
Shohei Ohtani,JPN,C (Tokyo),DH,Los Angeles Dodgers,True,batter
Yoshinobu Yamamoto,JPN,C (Tokyo),RHP,Los Angeles Dodgers,True,pitcher
Yusei Kikuchi,JPN,C (Tokyo),LHP,Los Angeles Angels,True,pitcher
Seiya Suzuki,JPN,C (Tokyo),RF,Chicago Cubs,True,batter
Masataka Yoshida,JPN,C (Tokyo),LF,Boston Red Sox,True,batter
Munetaka Murakami,JPN,C (Tokyo),1B,Chicago White Sox,True,batter
Kazuma Okamoto,JPN,C (Tokyo),3B,Toronto Blue Jays,True,batter
Tomoyuki Sugano,JPN,C (Tokyo),RHP,Colorado Rockies,True,pitcher
Sandy Alcántara,DOM,D (Miami),RHP,Miami Marlins,True,pitcher
Elvis Alvarado,DOM,D (Miami),RHP,Athletics,True,pitcher
